Day,Month,Hour,Minute,Class
2,1,15,40,NORMAL
2,1,15,50,NORMAL
2,1,16,0,NORMAL
2,1,16,10,NORMAL
2,1,16,20,NORMAL
2,1,16,30,NORMAL
2,1,16,40,NORMAL
2,1,16,50,NORMAL
2,1,17,0,LOW
2,1,17,10,LOW
2,1,17,20,LOW
2,1,17,30,LOW
2,1,17,40,LOW
2,1,17,50,LOW
2,1,18,0,LOW
2,1,18,10,LOW
2,1,18,20,LOW
2,1,18,30,LOW
2,1,18,40,LOW
2,1,18,50,LOW
2,1,19,0,LOW
2,1,19,10,LOW
2,1,19,20,LOW
2,1,19,30,LOW
2,1,19,40,LOW
2,1,19,50,LOW
2,1,20,0,LOW
2,1,20,10,LOW
2,1,20,20,LOW
2,1,20,30,LOW
2,1,20,40,LOW
2,1,20,50,LOW
2,1,21,0,LOW
2,1,21,10,LOW
2,1,21,20,LOW
2,1,21,30,NORMAL
2,1,21,40,NORMAL
2,1,21,50,NORMAL
2,1,22,0,NORMAL
2,1,22,10,NORMAL
2,1,22,20,NORMAL
2,1,22,30,NORMAL
2,1,22,40,NORMAL
2,1,22,50,NORMAL
2,1,23,0,NORMAL
2,1,23,10,NORMAL
2,1,23,20,NORMAL
2,1,23,30,NORMAL
2,1,23,40,NORMAL
2,1,23,50,NORMAL
3,1,0,0,HIGH
3,1,0,10,HIGH
3,1,0,20,NORMAL
3,1,0,30,NORMAL
3,1,0,40,NORMAL
3,1,0,50,NORMAL
3,1,1,0,HIGH
3,1,1,10,HIGH
3,1,1,20,HIGH
3,1,1,30,HIGH
3,1,1,40,HIGH
3,1,1,50,HIGH
3,1,2,0,HIGH
3,1,2,10,HIGH
3,1,2,20,HIGH
3,1,2,30,HIGH
3,1,2,40,HIGH
3,1,2,50,HIGH
3,1,3,0,HIGH
3,1,3,10,HIGH
3,1,3,20,HIGH
3,1,3,30,HIGH
3,1,3,40,HIGH
3,1,3,50,HIGH
3,1,4,0,HIGH
3,1,4,10,HIGH
3,1,4,20,HIGH
3,1,4,30,HIGH
3,1,4,40,HIGH
3,1,4,50,HIGH
3,1,5,0,HIGH
3,1,5,10,HIGH
3,1,5,20,HIGH
3,1,5,30,HIGH
3,1,5,40,HIGH
3,1,5,50,HIGH
3,1,6,0,HIGH
3,1,6,10,HIGH
3,1,6,20,HIGH
3,1,6,30,HIGH
3,1,6,40,HIGH
3,1,6,50,NORMAL
3,1,7,0,NORMAL
3,1,7,10,NORMAL
3,1,7,20,NORMAL
3,1,7,30,NORMAL
3,1,7,40,NORMAL
3,1,7,50,NORMAL
3,1,8,0,NORMAL
3,1,8,10,NORMAL
3,1,8,20,NORMAL
3,1,8,30,NORMAL
3,1,8,40,LOW
3,1,8,50,NORMAL
3,1,9,0,NORMAL
3,1,9,10,NORMAL
3,1,9,20,NORMAL
3,1,9,30,NORMAL
3,1,9,40,NORMAL
3,1,9,50,NORMAL
3,1,10,0,NORMAL
3,1,10,10,NORMAL
3,1,10,20,NORMAL
3,1,10,30,NORMAL
3,1,10,40,LOW
3,1,10,50,NORMAL
3,1,11,0,NORMAL
3,1,11,10,NORMAL
3,1,11,20,NORMAL
3,1,11,30,NORMAL
3,1,11,40,NORMAL
3,1,11,50,NORMAL
3,1,12,0,NORMAL
3,1,12,10,NORMAL
3,1,12,20,NORMAL
3,1,12,30,NORMAL
3,1,12,40,NORMAL
3,1,12,50,LOW
3,1,13,0,LOW
3,1,13,10,LOW
3,1,13,20,LOW
3,1,13,30,LOW
3,1,13,40,LOW
3,1,13,50,LOW
3,1,14,0,LOW
3,1,14,10,LOW
3,1,14,20,LOW
3,1,14,30,LOW
3,1,14,40,LOW
3,1,14,50,NORMAL
3,1,15,0,NORMAL
3,1,15,10,NORMAL
3,1,15,20,NORMAL
3,1,15,30,NORMAL
3,1,15,40,NORMAL
3,1,15,50,NORMAL
3,1,16,0,NORMAL
3,1,16,10,NORMAL
3,1,16,20,NORMAL
3,1,16,30,NORMAL
3,1,16,40,NORMAL
3,1,16,50,NORMAL
3,1,17,0,NORMAL
3,1,17,10,NORMAL
3,1,17,20,NORMAL
3,1,17,30,LOW
3,1,17,40,LOW
3,1,17,50,NORMAL
3,1,18,0,LOW
3,1,18,10,NORMAL
3,1,18,20,NORMAL
3,1,18,30,NORMAL
3,1,18,40,NORMAL
3,1,18,50,LOW
3,1,19,0,LOW
3,1,19,10,LOW
3,1,19,20,LOW
3,1,19,30,LOW
3,1,19,40,LOW
3,1,19,50,LOW
3,1,20,0,NORMAL
3,1,20,10,LOW
3,1,20,20,LOW
3,1,20,30,LOW
3,1,20,40,LOW
3,1,20,50,LOW
3,1,21,0,LOW
3,1,21,10,LOW
3,1,21,20,LOW
3,1,21,30,LOW
3,1,21,40,LOW
3,1,21,50,NORMAL
3,1,22,0,NORMAL
3,1,22,10,NORMAL
3,1,22,20,NORMAL
3,1,22,30,NORMAL
3,1,22,40,HIGH
3,1,22,50,NORMAL
3,1,23,0,HIGH
3,1,23,10,HIGH
3,1,23,20,HIGH
3,1,23,30,HIGH
3,1,23,40,HIGH
3,1,23,50,HIGH
4,1,0,0,HIGH
4,1,0,10,HIGH
4,1,0,20,HIGH
4,1,0,30,HIGH
4,1,0,40,HIGH
4,1,0,50,HIGH
4,1,1,0,HIGH
4,1,1,10,HIGH
4,1,1,20,HIGH
4,1,1,30,HIGH
4,1,1,40,HIGH
4,1,1,50,HIGH
4,1,2,0,HIGH
4,1,2,10,HIGH
4,1,2,20,HIGH
4,1,2,30,HIGH
4,1,2,40,HIGH
4,1,2,50,HIGH
4,1,3,0,HIGH
4,1,3,10,HIGH
4,1,3,20,HIGH
4,1,3,30,HIGH
4,1,3,40,HIGH
4,1,3,50,HIGH
4,1,4,0,HIGH
4,1,4,10,HIGH
4,1,4,20,HIGH
4,1,4,30,HIGH
4,1,4,40,HIGH
4,1,4,50,HIGH
4,1,5,0,HIGH
4,1,5,10,HIGH
4,1,5,20,HIGH
4,1,5,30,HIGH
4,1,5,40,HIGH
4,1,5,50,HIGH
4,1,6,0,HIGH
4,1,6,10,HIGH
4,1,6,20,HIGH
4,1,6,30,HIGH
4,1,6,40,NORMAL
4,1,6,50,NORMAL
4,1,7,0,NORMAL
4,1,7,10,HIGH
4,1,7,20,HIGH
4,1,7,30,HIGH
4,1,7,40,NORMAL
4,1,7,50,NORMAL
4,1,8,0,NORMAL
4,1,8,10,NORMAL
4,1,8,20,NORMAL
4,1,8,30,NORMAL
4,1,8,40,NORMAL
4,1,8,50,NORMAL
4,1,9,0,NORMAL
4,1,9,10,NORMAL
4,1,9,20,NORMAL
4,1,9,30,NORMAL
4,1,9,40,NORMAL
4,1,9,50,NORMAL
4,1,10,0,NORMAL
4,1,10,10,NORMAL
4,1,10,20,NORMAL
4,1,10,30,NORMAL
4,1,10,40,NORMAL
4,1,10,50,NORMAL
4,1,11,0,NORMAL
4,1,11,10,NORMAL
4,1,11,20,NORMAL
4,1,11,30,NORMAL
4,1,11,40,NORMAL
4,1,11,50,NORMAL
4,1,12,0,NORMAL
4,1,12,10,NORMAL
4,1,12,20,NORMAL
4,1,12,30,NORMAL
4,1,12,40,NORMAL
4,1,12,50,NORMAL
4,1,13,0,NORMAL
4,1,13,10,NORMAL
4,1,13,20,NORMAL
4,1,13,30,NORMAL
4,1,13,40,NORMAL
4,1,13,50,NORMAL
4,1,14,0,NORMAL
4,1,14,10,NORMAL
4,1,14,20,NORMAL
4,1,14,30,NORMAL
4,1,14,40,NORMAL
4,1,14,50,NORMAL
4,1,15,0,NORMAL
4,1,15,10,NORMAL
4,1,15,20,NORMAL
4,1,15,30,NORMAL
4,1,15,40,NORMAL
4,1,15,50,NORMAL
4,1,16,0,NORMAL
4,1,16,10,LOW
4,1,16,20,LOW
4,1,16,30,NORMAL
4,1,16,40,LOW
4,1,16,50,LOW
4,1,17,0,LOW
4,1,17,10,LOW
4,1,17,20,LOW
4,1,17,30,LOW
4,1,17,40,LOW
4,1,17,50,LOW
4,1,18,0,LOW
4,1,18,10,LOW
4,1,18,20,LOW
4,1,18,30,LOW
4,1,18,40,LOW
4,1,18,50,LOW
4,1,19,0,LOW
4,1,19,10,NORMAL
4,1,19,20,LOW
4,1,19,30,LOW
4,1,19,40,LOW
4,1,19,50,LOW
4,1,20,0,LOW
4,1,20,10,LOW
4,1,20,20,LOW
4,1,20,30,LOW
4,1,20,40,LOW
4,1,20,50,LOW
4,1,21,0,LOW
4,1,21,10,LOW
4,1,21,20,LOW
4,1,21,30,NORMAL
4,1,21,40,NORMAL
4,1,21,50,NORMAL
4,1,22,0,NORMAL
4,1,22,10,NORMAL
4,1,22,20,NORMAL
4,1,22,30,NORMAL
4,1,22,40,NORMAL
4,1,22,50,HIGH
4,1,23,0,HIGH
4,1,23,10,HIGH
4,1,23,20,HIGH
4,1,23,30,HIGH
4,1,23,40,HIGH
4,1,23,50,HIGH
5,1,0,0,HIGH
5,1,0,10,HIGH
5,1,0,20,HIGH
5,1,0,30,HIGH
5,1,0,40,HIGH
5,1,0,50,HIGH
5,1,1,0,HIGH
5,1,1,10,HIGH
5,1,1,20,HIGH
5,1,1,30,HIGH
5,1,1,40,HIGH
5,1,1,50,HIGH
5,1,2,0,HIGH
5,1,2,10,HIGH
5,1,2,20,HIGH
5,1,2,30,HIGH
5,1,2,40,HIGH
5,1,2,50,HIGH
5,1,3,0,HIGH
5,1,3,10,HIGH
5,1,3,20,HIGH
5,1,3,30,HIGH
5,1,3,40,HIGH
5,1,3,50,HIGH
5,1,4,0,HIGH
5,1,4,10,HIGH
5,1,4,20,HIGH
5,1,4,30,HIGH
5,1,4,40,HIGH
5,1,4,50,HIGH
5,1,5,0,HIGH
5,1,5,10,HIGH
5,1,5,20,HIGH
5,1,5,30,HIGH
5,1,5,40,HIGH
5,1,5,50,HIGH
5,1,6,0,HIGH
5,1,6,10,HIGH
5,1,6,20,HIGH
5,1,6,30,HIGH
5,1,6,40,HIGH
5,1,6,50,HIGH
5,1,7,0,NORMAL
5,1,7,10,NORMAL
5,1,7,20,HIGH
5,1,7,30,HIGH
5,1,7,40,NORMAL
5,1,7,50,NORMAL
5,1,8,0,NORMAL
5,1,8,10,NORMAL
5,1,8,20,NORMAL
5,1,8,30,NORMAL
5,1,8,40,NORMAL
5,1,8,50,NORMAL
5,1,9,0,NORMAL
5,1,9,10,NORMAL
5,1,9,20,NORMAL
5,1,9,30,NORMAL
5,1,9,40,NORMAL
5,1,9,50,NORMAL
5,1,10,0,NORMAL
5,1,10,10,NORMAL
5,1,10,20,NORMAL
5,1,10,30,NORMAL
5,1,10,40,NORMAL
5,1,10,50,NORMAL
5,1,11,0,NORMAL
5,1,11,10,NORMAL
5,1,11,20,NORMAL
5,1,11,30,NORMAL
5,1,11,40,NORMAL
5,1,11,50,NORMAL
5,1,12,0,NORMAL
5,1,12,10,NORMAL
5,1,12,20,NORMAL
5,1,12,30,NORMAL
5,1,12,40,NORMAL
5,1,12,50,NORMAL
5,1,13,0,NORMAL
5,1,13,10,NORMAL
5,1,13,20,NORMAL
5,1,13,30,NORMAL
5,1,13,40,NORMAL
5,1,13,50,NORMAL
5,1,14,0,NORMAL
5,1,14,10,NORMAL
5,1,14,20,NORMAL
5,1,14,30,NORMAL
5,1,14,40,NORMAL
5,1,14,50,NORMAL
5,1,15,0,NORMAL
5,1,15,10,NORMAL
5,1,15,20,NORMAL
5,1,15,30,NORMAL
5,1,15,40,NORMAL
5,1,15,50,NORMAL
5,1,16,0,NORMAL
5,1,16,10,NORMAL
5,1,16,20,NORMAL
5,1,16,30,LOW
5,1,16,40,LOW
5,1,16,50,LOW
5,1,17,0,LOW
5,1,17,10,LOW
5,1,17,20,LOW
5,1,17,30,LOW
5,1,17,40,LOW
5,1,17,50,LOW
5,1,18,0,LOW
5,1,18,10,LOW
5,1,18,20,LOW
5,1,18,30,LOW
5,1,18,40,LOW
5,1,18,50,LOW
5,1,19,0,LOW
5,1,19,10,LOW
5,1,19,20,LOW
5,1,19,30,LOW
5,1,19,40,LOW
5,1,19,50,LOW
5,1,20,0,LOW
5,1,20,10,LOW
5,1,20,20,LOW
5,1,20,30,LOW
5,1,20,40,LOW
5,1,20,50,LOW
5,1,21,0,LOW
5,1,21,10,LOW
5,1,21,20,NORMAL
5,1,21,30,NORMAL
5,1,21,40,NORMAL
5,1,21,50,NORMAL
5,1,22,0,NORMAL
5,1,22,10,NORMAL
5,1,22,20,NORMAL
5,1,22,30,NORMAL
5,1,22,40,NORMAL
5,1,22,50,HIGH
5,1,23,0,HIGH
5,1,23,10,HIGH
5,1,23,20,HIGH
5,1,23,30,HIGH
5,1,23,40,HIGH
5,1,23,50,HIGH
6,1,0,0,HIGH
6,1,0,10,HIGH
6,1,0,20,HIGH
6,1,0,30,HIGH
6,1,0,40,HIGH
6,1,0,50,HIGH
6,1,1,0,HIGH
6,1,1,10,HIGH
6,1,1,20,HIGH
6,1,1,30,HIGH
6,1,1,40,HIGH
6,1,1,50,HIGH
6,1,2,0,HIGH
6,1,2,10,HIGH
6,1,2,20,HIGH
6,1,2,30,HIGH
6,1,2,40,HIGH
6,1,2,50,HIGH
6,1,3,0,HIGH
6,1,3,10,HIGH
6,1,3,20,HIGH
6,1,3,30,HIGH
6,1,3,40,HIGH
6,1,3,50,HIGH
6,1,4,0,HIGH
6,1,4,10,HIGH
6,1,4,20,HIGH
6,1,4,30,HIGH
6,1,4,40,HIGH
6,1,4,50,HIGH
6,1,5,0,HIGH
6,1,5,10,HIGH
6,1,5,20,HIGH
6,1,5,30,HIGH
6,1,5,40,HIGH
6,1,5,50,HIGH
6,1,6,0,HIGH
6,1,6,10,HIGH
6,1,6,20,NORMAL
6,1,6,30,NORMAL
6,1,6,40,NORMAL
6,1,6,50,NORMAL
6,1,7,0,NORMAL
6,1,7,10,NORMAL
6,1,7,20,NORMAL
6,1,7,30,NORMAL
6,1,7,40,NORMAL
6,1,7,50,NORMAL
6,1,8,0,NORMAL
6,1,8,10,NORMAL
6,1,8,20,NORMAL
6,1,8,30,NORMAL
6,1,8,40,NORMAL
6,1,8,50,NORMAL
6,1,9,0,NORMAL
6,1,9,10,NORMAL
6,1,9,20,NORMAL
6,1,9,30,NORMAL
6,1,9,40,NORMAL
6,1,9,50,NORMAL
6,1,10,0,NORMAL
6,1,10,10,NORMAL
6,1,10,20,NORMAL
6,1,10,30,NORMAL
6,1,10,40,NORMAL
6,1,10,50,NORMAL
6,1,11,0,NORMAL
6,1,11,10,NORMAL
6,1,11,20,NORMAL
6,1,11,30,NORMAL
6,1,11,40,NORMAL
6,1,11,50,NORMAL
6,1,12,0,NORMAL
6,1,12,10,NORMAL
6,1,12,20,NORMAL
6,1,12,30,NORMAL
6,1,12,40,NORMAL
6,1,12,50,NORMAL
6,1,13,0,NORMAL
6,1,13,10,NORMAL
6,1,13,20,NORMAL
6,1,13,30,LOW
6,1,13,40,NORMAL
6,1,13,50,NORMAL
6,1,14,0,NORMAL
6,1,14,10,NORMAL
6,1,14,20,NORMAL
6,1,14,30,NORMAL
6,1,14,40,NORMAL
6,1,14,50,NORMAL
6,1,15,0,NORMAL
6,1,15,10,NORMAL
6,1,15,20,NORMAL
6,1,15,30,NORMAL
6,1,15,40,NORMAL
6,1,15,50,NORMAL
6,1,16,0,NORMAL
6,1,16,10,LOW
6,1,16,20,LOW
6,1,16,30,LOW
6,1,16,40,LOW
6,1,16,50,LOW
6,1,17,0,LOW
6,1,17,10,LOW
6,1,17,20,LOW
6,1,17,30,LOW
6,1,17,40,LOW
6,1,17,50,LOW
6,1,18,0,LOW
6,1,18,10,LOW
6,1,18,20,LOW
6,1,18,30,LOW
6,1,18,40,LOW
6,1,18,50,LOW
6,1,19,0,LOW
6,1,19,10,LOW
6,1,19,20,LOW
6,1,19,30,LOW
6,1,19,40,LOW
6,1,19,50,LOW
6,1,20,0,LOW
6,1,20,10,LOW
6,1,20,20,LOW
6,1,20,30,LOW
6,1,20,40,LOW
6,1,20,50,LOW
6,1,21,0,LOW
6,1,21,10,NORMAL
6,1,21,20,LOW
6,1,21,30,NORMAL
6,1,21,40,NORMAL
6,1,21,50,NORMAL
6,1,22,0,NORMAL
6,1,22,10,NORMAL
6,1,22,20,NORMAL
6,1,22,30,NORMAL
6,1,22,40,NORMAL
6,1,22,50,NORMAL
6,1,23,0,HIGH
6,1,23,10,HIGH
6,1,23,20,HIGH
6,1,23,30,HIGH
6,1,23,40,HIGH
6,1,23,50,HIGH
7,1,0,0,HIGH
7,1,0,10,HIGH
7,1,0,20,HIGH
7,1,0,30,HIGH
7,1,0,40,HIGH
7,1,0,50,HIGH
7,1,1,0,HIGH
7,1,1,10,HIGH
7,1,1,20,HIGH
7,1,1,30,HIGH
7,1,1,40,HIGH
7,1,1,50,HIGH
7,1,2,0,HIGH
7,1,2,10,HIGH
7,1,2,20,HIGH
7,1,2,30,HIGH
7,1,2,40,HIGH
7,1,2,50,HIGH
7,1,3,0,HIGH
7,1,3,10,HIGH
7,1,3,20,HIGH
7,1,3,30,HIGH
7,1,3,40,HIGH
7,1,3,50,HIGH
7,1,4,0,HIGH
7,1,4,10,HIGH
7,1,4,20,HIGH
7,1,4,30,HIGH
7,1,4,40,HIGH
7,1,4,50,HIGH
7,1,5,0,HIGH
7,1,5,10,HIGH
7,1,5,20,HIGH
7,1,5,30,HIGH
7,1,5,40,HIGH
7,1,5,50,HIGH
7,1,6,0,HIGH
7,1,6,10,HIGH
7,1,6,20,HIGH
7,1,6,30,NORMAL
7,1,6,40,NORMAL
7,1,6,50,NORMAL
7,1,7,0,NORMAL
7,1,7,10,NORMAL
7,1,7,20,NORMAL
7,1,7,30,NORMAL
7,1,7,40,NORMAL
7,1,7,50,NORMAL
7,1,8,0,NORMAL
7,1,8,10,NORMAL
7,1,8,20,NORMAL
7,1,8,30,NORMAL
7,1,8,40,NORMAL
7,1,8,50,NORMAL
7,1,9,0,NORMAL
7,1,9,10,NORMAL
7,1,9,20,LOW
7,1,9,30,NORMAL
7,1,9,40,NORMAL
7,1,9,50,NORMAL
7,1,10,0,NORMAL
7,1,10,10,NORMAL
7,1,10,20,NORMAL
7,1,10,30,NORMAL
7,1,10,40,NORMAL
7,1,10,50,NORMAL
7,1,11,0,NORMAL
7,1,11,10,NORMAL
7,1,11,20,NORMAL
7,1,11,30,NORMAL
7,1,11,40,NORMAL
7,1,11,50,NORMAL
7,1,12,0,NORMAL
7,1,12,10,NORMAL
7,1,12,20,NORMAL
7,1,12,30,NORMAL
7,1,12,40,NORMAL
7,1,12,50,NORMAL
7,1,13,0,NORMAL
7,1,13,10,NORMAL
7,1,13,20,NORMAL
7,1,13,30,NORMAL
7,1,13,40,NORMAL
7,1,13,50,NORMAL
7,1,14,0,NORMAL
7,1,14,10,NORMAL
7,1,14,20,NORMAL
7,1,14,30,NORMAL
7,1,14,40,NORMAL
7,1,14,50,NORMAL
7,1,15,0,NORMAL
7,1,15,10,NORMAL
7,1,15,20,NORMAL
7,1,15,30,NORMAL
7,1,15,40,LOW
7,1,15,50,NORMAL
7,1,16,0,LOW
7,1,16,10,LOW
7,1,16,20,LOW
7,1,16,30,LOW
7,1,16,40,LOW
7,1,16,50,LOW
7,1,17,0,LOW
7,1,17,10,LOW
7,1,17,20,LOW
7,1,17,30,LOW
7,1,17,40,LOW
7,1,17,50,LOW
7,1,18,0,LOW
7,1,18,10,LOW
7,1,18,20,LOW
7,1,18,30,LOW
7,1,18,40,LOW
7,1,18,50,LOW
7,1,19,0,LOW
7,1,19,10,LOW
7,1,19,20,LOW
7,1,19,30,LOW
7,1,19,40,LOW
7,1,19,50,LOW
7,1,20,0,LOW
7,1,20,10,LOW
7,1,20,20,LOW
7,1,20,30,LOW
7,1,20,40,LOW
7,1,20,50,LOW
7,1,21,0,LOW
7,1,21,10,LOW
7,1,21,20,LOW
7,1,21,30,NORMAL
7,1,21,40,NORMAL
7,1,21,50,NORMAL
7,1,22,0,NORMAL
7,1,22,10,NORMAL
7,1,22,20,NORMAL
7,1,22,30,HIGH
7,1,22,40,HIGH
7,1,22,50,HIGH
7,1,23,0,HIGH
7,1,23,10,HIGH
7,1,23,20,HIGH
7,1,23,30,HIGH
7,1,23,40,HIGH
7,1,23,50,HIGH
8,1,0,0,HIGH
8,1,0,10,HIGH
8,1,0,20,HIGH
8,1,0,30,HIGH
8,1,0,40,HIGH
8,1,0,50,HIGH
8,1,1,0,HIGH
8,1,1,10,HIGH
8,1,1,20,HIGH
8,1,1,30,HIGH
8,1,1,40,HIGH
8,1,1,50,HIGH
8,1,2,0,HIGH
8,1,2,10,HIGH
8,1,2,20,HIGH
8,1,2,30,HIGH
8,1,2,40,HIGH
8,1,2,50,HIGH
8,1,3,0,HIGH
8,1,3,10,HIGH
8,1,3,20,HIGH
8,1,3,30,HIGH
8,1,3,40,HIGH
8,1,3,50,HIGH
8,1,4,0,HIGH
8,1,4,10,HIGH
8,1,4,20,HIGH
8,1,4,30,HIGH
8,1,4,40,HIGH
8,1,4,50,HIGH
8,1,5,0,HIGH
8,1,5,10,HIGH
8,1,5,20,HIGH
8,1,5,30,HIGH
8,1,5,40,HIGH
8,1,5,50,HIGH
8,1,6,0,HIGH
8,1,6,10,HIGH
8,1,6,20,HIGH
8,1,6,30,HIGH
8,1,6,40,NORMAL
8,1,6,50,NORMAL
8,1,7,0,NORMAL
8,1,7,10,NORMAL
8,1,7,20,NORMAL
8,1,7,30,NORMAL
